Absolute Module Path,Module Position,Module Declaration,Module Complexity
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\CarReport.java,687,SyncParseException(Exception e),0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\CarReport.java,693,Utils getContext(),0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\CarReport.java,699,"boolean copyFile(File tempFile, File localFile)",0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\CarReport.java,711,"void e(Object tag, String s, IOException e)",0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\CarReport.java,715,"void w(Object tag, String s)",0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\HibernateORM.java,23,Column[] getOverriddenColumn(String propertyName),4
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\HibernateORM.java,67,char[] getRole(),0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\HibernateORM.java,71,CollectionPersister getOwnerEntityPersister(),0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\HibernateORM.java,75,Type getIdentifierType(),0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\HibernateORM.java,81,Object getOwner(),0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\HibernateORM.java,87,Class<?> getReturnedClass(),0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\HibernateORM.java,91,"char[] toLoggableString(Serializable ownerKey, Object factory)",0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\HibernateORM.java,97,Serializable getId(),0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\HibernateORM.java,107,TimesTenDialect(),0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\HibernateORM.java,145,"int execute(SharedSessionContractImplementor session, QueryParameters queryParameters)",15
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\HibernateORM.java,208,"void handleAddedParametersOnUpdate(PreparedStatement ps, SharedSessionContractImplementor session, int position)",0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\HibernateORM.java,212,"int handlePrependedParametersOnIdSelection(PreparedStatement ps, SharedSessionContractImplementor session, int position)",0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\HibernateORM.java,216,"void prepareForUse(Object targetedPersister, SharedSessionContractImplementor session)",0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\HibernateORM.java,220,"void releaseFromUse(Object targetedPersister, SharedSessionContractImplementor session)",0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\HibernateORM.java,225,long extractSequenceValue(final SessionImplementor sessionImpl),4
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\HibernateORM.java,268,"String collectionInfoString(CollectionPersister persister, PersistentCollection collection, Serializable collectionKey, SharedSessionContractImplementor session)",14
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\HibernateORM.java,308,Column[] getExactOverriddenColumn(String replace),0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\HibernateORM.java,313,StandardSQLFunction(String lower),0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\HibernateORM.java,316,"StandardSQLFunction(String concat, Object string)",0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\HibernateORM.java,320,StandardSQLFunction(),0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\HibernateORM.java,326,"NoArgSQLFunction(String sysdate, Object p1, boolean b)",0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\HibernateORM.java,340,"void setProperty(Object useStreamsForBinary, String aTrue)",0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\HibernateORM.java,344,Environment getStatementPreparer(),0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\HibernateORM.java,348,"PreparedStatement prepareStatement(String idInsertSelect, boolean b)",0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\HibernateORM.java,352,"PreparedStatement prepareStatement(Update idInsertSelect, boolean b)",0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\HibernateORM.java,356,void afterStatementExecution(),0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\HibernateORM.java,360,Environment getLogicalConnection(),0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\HibernateORM.java,364,Environment getResultSetReturn(),0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\HibernateORM.java,368,int executeUpdate(PreparedStatement ps),0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\HibernateORM.java,372,Environment getResourceRegistry(),0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\HibernateORM.java,376,void release(PreparedStatement ps),0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\HibernateORM.java,380,Environment getSqlExceptionHelper(),0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\HibernateORM.java,384,"Exception convert(SQLException e, String s, String idInsertSelect)",0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\HibernateORM.java,387,"Exception convert(SQLException e, String s, Update idInsertSelect)",0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\HibernateORM.java,391,PreparedStatement prepareStatement(Update queryString),0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\HibernateORM.java,395,ResultSet extract(PreparedStatement query),0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\HibernateORM.java,399,EntityEntry getEntry(Object collectionOwner),0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\HibernateORM.java,403,"Object convert(long l, Object nanoseconds)",0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\HibernateORM.java,409,"void registerFunction(String lower, StandardSQLFunction lower1)",0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\HibernateORM.java,413,Environment getDefaultProperties(),0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\HibernateORM.java,417,"void registerColumnType(int bit, String tinyint)",0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\HibernateORM.java,422,Environment getJdbcCoordinator(),0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\HibernateORM.java,426,Environment getJdbcServices(),0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\HibernateORM.java,430,Environment getPersistenceContext(),0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\HibernateORM.java,434,Object getFactory(),0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\HibernateORM.java,443,Environment getJdbcCoordinator(),0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\HibernateORM.java,453,void commit(),0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\HibernateORM.java,457,void rollback(),0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\HibernateORM.java,472,"int bind(PreparedStatement ps, QueryParameters queryParameters, SharedSessionContractImplementor session, int position)",0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\HibernateORM.java,478,Transaction beginTransaction(),0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\HibernateORM.java,481,void doWork(WorkImpl work),0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\K9.java,11,void testFetchResponse(),0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\K9.java,47,"Store getInstance(Context context, StoreConfig storeConfig)",9
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\K9.java,83,void open_withXoauth2Extension_shouldThrowOnMultipleFailure(),1
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\K9.java,115,T1 get(T uri),0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\K9.java,119,"void put(T uri, T1 store)",0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\K9.java,132,StorageManager(final Context context),4
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\K9.java,170,void testTextQuoteToHtmlBlockquote(),0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\K9.java,211,void writeToFile(String result),0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\K9.java,215,"SmtpTransport startServerAndCreateSmtpTransport(MockSmtpServer server, Object xoauth2, Object none)",0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\K9.java,222,Object getSystemService(Object connectivityService),0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\K9.java,231,"void put(Object provider, StorageProvider synchronizationAid)",0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\K9.java,235,"void put(StorageProvider provider, SynchronizationAid synchronizationAid)",0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\K9.java,241,String getId(),0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\K9.java,243,boolean isSupported(Context context),0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\K9.java,245,void init(Context context),0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\K9.java,250,String getId(),0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\K9.java,255,boolean isSupported(Context context),0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\K9.java,260,void init(Context context),0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\K9.java,268,String getId(),0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\K9.java,273,boolean isSupported(Context context),0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\K9.java,278,void init(Context context),0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\K9.java,285,ImapResponse readResponse(),0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\K9.java,291,int size(),0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\K9.java,295,String getString(int i),0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\K9.java,299,ImapResponse getList(int i),0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\K9.java,303,int getNumber(int i),0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\K9.java,308,ImapResponseParser createParser(String s),0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\K9.java,318,String getStoreUri(),0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\K9.java,324,MessagingException(String s),0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\K9.java,339,DefaultTrustedSocketFactory(Context context),0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\K9.java,344,"ImapStore(StoreConfig storeConfig, DefaultTrustedSocketFactory defaultTrustedSocketFactory, ConnectivityManager systemService, OAuth2TokenProvider oAuth2TokenProvider)",0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\K9.java,350,"Pop3Store(StoreConfig storeConfig, DefaultTrustedSocketFactory defaultTrustedSocketFactory)",0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\K9.java,359,"WebDavStore(StoreConfig storeConfig, WebDavHttpClientFactory webDavHttpClientFactory)",0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\K9.java,365,void output(String s),0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\K9.java,368,void expect(String ehlo_localhost),0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\K9.java,372,void verifyConnectionStillOpen(),0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\K9.java,376,void verifyInteractionCompleted(),0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\K9.java,394,void open(),0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\K9.java,400,String getMessage(),0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\K9.java,406,String textToHtml(String message),0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\K9.java,411,"void assertEquals(int i, int number)",0
D:\Eclipse\CognitiveComplexity\Test Files\cartella 123\K9.java,415,"void assertEquals(String s, String string)",0
